ax,ay,az,gx,gy,gz
-0.57,-1.6,10.18,-0.11,0.03,-0.02
-0.52,-1.61,10.27,-0.1,0.03,-0.01
-0.42,-1.58,10.28,-0.09,-0.01,-0.01
-0.53,-1.66,10.27,-0.09,-0.05,-0.02
0.08,-1.18,10.36,-0.14,0.08,-0.01
0.08,-1.18,10.23,-0.1,0.05,-0.01
0.07,-1.14,10.15,-0.07,0.05,-0.02
0.0,-1.18,10.33,-0.13,0.06,-0.03
-0.02,-1.2,10.35,-0.1,0.05,-0.02
-0.03,-1.17,10.27,-0.08,0.05,-0.02
-0.04,-1.13,10.25,-0.1,0.06,-0.01
0.02,-1.13,10.31,-0.12,0.06,-0.01
0.01,-1.13,10.24,-0.1,0.06,-0.01
-0.02,-1.17,10.25,-0.11,0.05,-0.01
-0.03,-1.14,10.29,-0.1,0.05,-0.01
-0.02,-1.19,10.29,-0.09,0.04,-0.01
0.02,-1.16,10.28,-0.1,0.05,-0.01
0.01,-1.14,10.28,-0.1,0.05,-0.01
0.07,-1.14,10.26,-0.11,0.05,-0.01
0.09,-1.14,10.27,-0.11,0.05,-0.02
0.08,-1.14,10.3,-0.11,0.05,-0.02
0.07,-1.15,10.26,-0.1,0.05,-0.02
0.05,-1.14,10.23,-0.09,0.05,-0.01
0.04,-1.14,10.33,-0.12,0.06,-0.02
0.05,-1.17,10.34,-0.13,0.07,-0.02
0.03,-1.13,10.09,-0.03,0.03,-0.01
-0.05,-1.13,10.44,-0.16,0.07,-0.02
0.02,-1.17,10.35,-0.14,0.08,-0.02
0.01,-1.12,10.07,-0.07,0.07,0.0
0.01,-1.15,10.31,-0.13,0.08,-0.01
0.0,-1.24,10.44,-0.15,0.06,-0.02
0.03,-1.21,10.27,-0.1,0.05,-0.01
0.03,-1.12,10.23,-0.11,0.07,-0.01
0.07,-1.11,10.32,-0.14,0.08,-0.01
0.06,-1.16,10.34,-0.12,0.07,-0.01
0.01,-1.16,10.29,-0.11,0.06,-0.01
0.02,-1.14,10.27,-0.12,0.06,-0.01
0.04,-1.16,10.25,-0.13,0.07,-0.01
-0.02,-1.21,10.36,-0.14,0.08,-0.02
0.0,-1.19,10.18,-0.09,0.05,-0.01
0.01,-1.13,10.13,-0.08,0.05,-0.01
0.0,-1.21,10.34,-0.14,0.06,-0.02
-0.01,-1.23,10.36,-0.1,0.05,-0.01
-0.05,-1.18,10.24,-0.09,0.05,-0.01
-0.01,-1.15,10.23,-0.11,0.06,-0.01
0.03,-1.16,10.31,-0.12,0.06,-0.01
0.02,-1.16,10.24,-0.1,0.05,-0.01
-0.01,-1.15,10.27,-0.11,0.05,-0.01
0.02,-1.17,10.26,-0.1,0.05,-0.01
0.05,-1.16,10.29,-0.1,0.05,-0.01
0.04,-1.18,10.29,-0.1,0.05,-0.01
0.01,-1.21,10.24,-0.11,0.06,-0.01
0.04,-1.19,10.28,-0.11,0.06,-0.01
0.04,-1.18,10.26,-0.11,0.05,-0.02
0.04,-1.17,10.27,-0.11,0.06,-0.02
0.02,-1.18,10.28,-0.11,0.06,-0.02
0.02,-1.16,10.26,-0.11,0.05,-0.02
0.03,-1.17,10.27,-0.11,0.05,-0.01
0.01,-1.18,10.25,-0.1,0.05,-0.01
0.04,-1.18,10.25,-0.11,0.06,-0.01
0.0,-1.2,10.34,-0.15,0.07,-0.02
0.04,-1.21,10.28,-0.12,0.05,-0.01
0.03,-1.13,10.09,-0.01,0.03,0.0
0.03,-1.21,10.3,-0.11,0.08,-0.02
0.06,-1.15,10.2,-0.1,0.08,-0.01
0.02,-1.13,10.14,-0.09,0.08,-0.01
0.0,-1.23,10.43,-0.16,0.08,-0.02
0.03,-1.27,10.31,-0.11,0.05,-0.01
0.0,-1.18,10.23,-0.09,0.06,-0.01
0.05,-1.14,10.22,-0.13,0.09,-0.01
0.04,-1.17,10.36,-0.14,0.08,-0.02
-0.02,-1.18,10.33,-0.12,0.07,-0.02
-0.04,-1.19,10.24,-0.11,0.06,-0.01
-0.01,-1.18,10.25,-0.11,0.06,-0.01
0.0,-1.22,10.24,-0.13,0.07,-0.01
-0.04,-1.26,10.44,-0.17,0.07,-0.02
0.02,-1.18,10.09,-0.05,0.03,0.0
0.01,-1.2,10.27,-0.13,0.07,-0.02
-0.02,-1.26,10.33,-0.12,0.06,-0.02
-0.03,-1.24,10.31,-0.09,0.05,-0.01
-0.02,-1.22,10.23,-0.09,0.05,-0.01
0.0,-1.17,10.27,-0.11,0.06,-0.01
0.03,-1.21,10.26,-0.11,0.06,-0.01
-0.01,-1.2,10.24,-0.1,0.06,-0.01
-0.01,-1.2,10.25,-0.1,0.05,-0.01
0.01,-1.2,10.26,-0.09,0.04,-0.01
0.0,-1.2,10.27,-0.1,0.05,-0.01
0.02,-1.21,10.24,-0.1,0.05,-0.01
0.02,-1.2,10.27,-0.1,0.05,-0.01
0.01,-1.21,10.26,-0.1,0.05,-0.01
0.0,-1.22,10.26,-0.11,0.05,-0.02
0.01,-1.19,10.26,-0.11,0.06,-0.02
0.02,-1.2,10.3,-0.11,0.05,-0.01
0.0,-1.18,10.28,-0.11,0.05,-0.02
0.0,-1.2,10.26,-0.11,0.05,-0.01
0.02,-1.2,10.25,-0.1,0.05,-0.01
0.04,-1.19,10.24,-0.1,0.06,-0.01
0.0,-1.22,10.34,-0.14,0.07,-0.02
0.04,-1.25,10.3,-0.12,0.05,-0.01
0.06,-1.13,10.08,0.0,0.03,0.0
-0.01,-1.22,10.3,-0.12,0.09,-0.02
-0.01,-1.15,10.25,-0.12,0.08,-0.01
-0.02,-1.16,10.12,-0.09,0.07,0.0
-0.01,-1.25,10.4,-0.16,0.08,-0.02
0.01,-1.27,10.33,-0.12,0.06,-0.01
0.0,-1.21,10.26,-0.1,0.06,-0.01
0.0,-1.16,10.23,-0.13,0.08,-0.01
0.04,-1.19,10.34,-0.14,0.08,-0.01
0.0,-1.22,10.3,-0.12,0.06,-0.02
-0.05,-1.21,10.29,-0.11,0.06,-0.01
-0.02,-1.2,10.25,-0.11,0.06,-0.01
0.01,-1.24,10.25,-0.13,0.07,-0.01
-0.05,-1.29,10.45,-0.18,0.08,-0.02
-0.01,-1.22,10.08,-0.05,0.03,0.0
0.0,-1.23,10.23,-0.11,0.06,-0.02
0.0,-1.29,10.36,-0.12,0.06,-0.02
-0.02,-1.26,10.3,-0.09,0.05,-0.01
-0.06,-1.21,10.23,-0.09,0.05,-0.01
-0.01,-1.2,10.28,-0.11,0.06,-0.01
0.05,-1.21,10.28,-0.12,0.06,-0.01
-0.01,-1.2,10.24,-0.1,0.06,-0.02
-0.03,-1.21,10.24,-0.11,0.05,-0.01
0.0,-1.23,10.29,-0.1,0.04,-0.01
0.01,-1.25,10.29,-0.09,0.05,-0.01
0.0,-1.2,10.27,-0.1,0.05,-0.01
0.0,-1.22,10.26,-0.11,0.06,-0.01
0.0,-1.22,10.29,-0.11,0.05,-0.01
0.03,-1.21,10.29,-0.11,0.05,-0.02
0.0,-1.21,10.27,-0.1,0.05,-0.01
0.0,-1.21,10.26,-0.11,0.06,-0.01
-0.01,-1.23,10.28,-0.11,0.05,-0.01
-0.01,-1.2,10.28,-0.11,0.05,-0.01
0.0,-1.19,10.25,-0.11,0.05,-0.01
0.0,-1.22,10.21,-0.1,0.05,-0.01
0.0,-1.21,10.28,-0.13,0.07,-0.02
0.01,-1.25,10.32,-0.13,0.07,-0.01
